@relation amazon3.1.1

@attribute Date {2017-01-04,2017-01-05,2017-01-09,2017-01-12,2017-01-13,2017-01-17,2017-01-19,2017-01-23,2017-01-24,2017-01-26,2017-01-27,2017-01-30,2017-01-31,2017-02-01,2017-02-02,2017-02-03,2017-02-06,2017-02-07,2017-02-08,2017-02-09,2017-02-13,2017-02-14,2017-02-15,2017-02-16,2017-02-17,2017-02-21,2017-02-22,2017-02-23,2017-02-24,2017-03-01,2017-03-03,2017-03-06,2017-03-07,2017-03-08,2017-03-09,2017-03-13,2017-03-20,2017-03-21,2017-03-22,2017-03-23,2017-03-24,2017-03-27,2017-03-29,2017-03-31,2017-04-03,2017-04-04,2017-04-06,2017-04-07,2017-04-10,2017-04-11,2017-04-17,2017-04-19,2017-04-24,2017-04-25,2017-04-27,2017-04-28,2017-05-02,2017-05-08,2017-05-09,2017-05-10,2017-05-12,2017-05-15,2017-05-17,2017-05-18,2017-05-19,2017-05-22,2017-05-24,2017-05-25,2017-05-26,2017-05-30,2017-05-31,2017-06-01,2017-06-02,2017-06-05,2017-06-06,2017-06-08,2017-06-09,2017-06-12,2017-06-13,2017-06-14,2017-06-16,2017-06-19,2017-06-20,2017-06-23,2017-06-26,2017-06-27,2017-06-28,2017-06-29,2017-06-30,2017-07-03,2017-07-05,2017-07-06,2017-07-07,2017-07-10,2017-07-11,2017-07-12,2017-07-13}
@attribute ' Fech_1' numeric
@attribute ' Fech_2' numeric
@attribute ' Fech_3' numeric
@attribute ' abertura' numeric

@data
2017-01-04,121878,121878,121699,122150
2017-01-05,121878,121699,123864,124595
2017-01-09,121699,123864,127079,127079
2017-01-09,123864,127079,127079,127079
2017-01-12,127079,127079,127840,127840
2017-01-13,127079,127840,132150,132150
2017-01-17,127840,132150,130478,130478
2017-01-17,132150,130478,130296,130030
2017-01-19,130478,130296,130100,130063
2017-01-23,130296,130100,128489,128489
2017-01-23,130100,128489,128778,128778
2017-01-24,128489,128778,130473,129123
2017-01-26,128778,130473,133758,133430
2017-01-26,130473,133758,134270,134270
2017-01-27,133758,134270,131982,131982
2017-01-30,134270,131982,129752,129752
2017-01-31,131982,129752,129496,129711
2017-01-31,129752,129496,129800,129719
2017-02-01,129496,129800,130620,130620
2017-02-02,129800,130620,130603,130603
2017-02-03,130620,130603,126926,126830
2017-02-03,130603,126926,126975,126830
2017-02-06,126926,126975,125688,125688
2017-02-07,126975,125688,126050,126600
2017-02-07,125688,126050,126351,126600
2017-02-08,126050,126351,128100,128100
2017-02-09,126351,128100,128492,128492
2017-02-13,128100,128492,130138,130138
2017-02-13,128492,130138,130212,130212
2017-02-14,130138,130212,129406,130000
2017-02-15,130212,129406,129459,129459
2017-02-16,129406,129459,129313,129313
2017-02-17,129459,129313,130751,130751
2017-02-21,129313,130751,132503,132270
2017-02-21,130751,132503,132503,132503
2017-02-22,132503,132503,132100,132100
2017-02-23,132503,132100,130132,131160
2017-02-23,132100,130132,129950,129950
2017-02-24,130132,129950,131441,131441
2017-03-01,129950,131441,132397,132397
2017-03-01,131441,132397,132397,132397
2017-03-03,132397,132397,131872,131872
2017-03-06,132397,131872,132620,132620
2017-03-07,131872,132620,132501,132501
2017-03-07,132620,132501,131861,131861
2017-03-08,132501,131861,134160,134160
2017-03-09,131861,134160,135749,135749
2017-03-13,134160,135749,134846,134846
2017-03-13,135749,134846,134871,134871
2017-03-20,134846,134871,131347,131347
2017-03-21,134871,131347,132000,132000
